num,confidence,negative_prob,positive_prob,sentiment
104,0.990533,0.99574,0.00426017,0.0
105,0.948402,0.976781,0.0232191,0.0
106,0.984173,0.00712234,0.992878,2.0
107,0.508439,0.221203,0.778797,2.0
108,1.0,0.0,1.0,1.0
109,0.993944,0.997275,0.0027252,0.0
110,0.0624801,0.421884,0.578116,2.0
111,0.901717,0.0442273,0.955773,2.0
112,0.707072,0.131818,0.868182,2.0
113,0.840803,0.0716387,0.928361,2.0
114,0.999763,0.000106889,0.999893,2.0
115,1.0,0.0,1.0,1.0
116,0.978075,0.990134,0.00986603,0.0
117,0.959471,0.981762,0.0182378,0.0
118,0.964653,0.0159062,0.984094,2.0
119,0.947758,0.023509,0.976491,2.0
120,0.84335,0.0704927,0.929507,2.0
121,0.996232,0.00169576,0.998304,2.0
122,0.965507,0.015522,0.984478,2.0
123,0.899601,0.0451795,0.954821,2.0
124,0.893105,0.0481027,0.951897,2.0
125,0.994508,0.00247144,0.997528,2.0
126,0.935967,0.496798,0.503202,1.0
127,0.995045,0.00222971,0.99777,2.0
128,0.991375,0.996119,0.00388101,0.0
129,0.853274,0.0660267,0.933973,2.0
130,0.121958,0.395119,0.604881,2.0
131,0.382133,0.27804,0.72196,2.0
132,0.989039,0.00493247,0.995068,2.0
133,0.999214,0.000353674,0.999646,2.0
134,0.0365975,0.566469,0.433531,0.0
135,0.943959,0.0252185,0.974782,2.0
136,0.864662,0.939098,0.0609022,0.0
137,0.883577,0.0523904,0.94761,2.0
138,0.921622,0.0352703,0.96473,2.0
139,0.977987,0.00990596,0.990094,2.0
140,0.802408,0.0889162,0.911084,2.0
141,0.614749,0.173363,0.826637,2.0
142,0.897758,0.0460089,0.953991,2.0
143,0.974858,0.0113141,0.988686,2.0
144,0.996762,0.00145729,0.998543,2.0
145,0.941637,0.973737,0.0262634,0.0
146,0.792204,0.0935083,0.906492,2.0
147,0.411159,0.264979,0.735021,2.0
148,0.980178,0.99108,0.00891997,0.0
149,0.953432,0.0209556,0.979044,2.0
150,0.976899,0.0103953,0.989605,2.0
151,0.602508,0.178871,0.821129,2.0
152,0.727186,0.122766,0.877234,2.0
153,0.277835,0.324974,0.675026,2.0
154,0.61411,0.17365,0.82635,2.0
155,0.973216,0.987947,0.0120528,0.0
156,0.857178,0.93573,0.06427,0.0
157,0.129999,0.608499,0.391501,0.0
158,0.682502,0.857126,0.142874,0.0
159,0.301468,0.31434,0.68566,2.0
160,0.980015,0.0089931,0.991007,2.0
161,0.650826,0.157128,0.842872,2.0
162,0.00552363,0.447514,0.552486,2.0
163,0.978438,0.00970304,0.990297,2.0
164,0.966581,0.0150386,0.984961,2.0
165,0.998989,0.00045489,0.999545,2.0
166,0.99793,0.000931603,0.999068,2.0
167,0.939491,0.027229,0.972771,2.0
168,0.693739,0.137817,0.862183,2.0
169,0.695184,0.137167,0.862833,2.0
170,0.527228,0.212747,0.787253,2.0
171,0.313445,0.69105,0.30895,0.0
172,0.987329,0.00570198,0.994298,2.0
173,0.992454,0.996604,0.00339574,0.0
174,0.921345,0.0353949,0.964605,2.0
175,0.947206,0.0237575,0.976242,2.0
176,0.318533,0.30666,0.69334,2.0
177,0.983761,0.00730768,0.992692,2.0
178,0.992774,0.00325155,0.996748,2.0
179,0.759611,0.108175,0.891825,2.0
180,0.804217,0.911898,0.0881023,0.0
181,0.971916,0.0126379,0.987362,2.0
182,0.681369,0.856616,0.143384,0.0
183,0.900778,0.0446501,0.95535,2.0
184,0.903635,0.0433643,0.956636,2.0
185,0.609186,0.175866,0.824134,2.0
186,0.667977,0.14941,0.85059,2.0
187,0.234137,0.655362,0.344638,0.0
188,0.933143,0.0300856,0.969914,2.0
189,0.331151,0.300982,0.699018,2.0
190,0.371806,0.282687,0.717313,2.0
191,0.324412,0.304015,0.695985,2.0
192,0.722077,0.125065,0.874935,2.0
193,0.770204,0.103408,0.896592,2.0
194,0.782956,0.0976697,0.90233,2.0
195,0.703208,0.866444,0.133556,0.0
196,0.577529,0.190112,0.809888,2.0
197,0.696308,0.863339,0.136661,0.0
198,0.908765,0.0410557,0.958944,2.0
199,0.627451,0.832353,0.167647,0.0
200,0.557162,0.199277,0.800723,2.0
201,0.319529,0.306212,0.693788,2.0
202,1.0,0.0,1.0,1.0
203,0.955514,0.979981,0.0200188,0.0
204,0.999157,0.000379305,0.999621,2.0
205,0.668591,0.149134,0.850866,2.0
206,0.770963,0.896933,0.103067,0.0
207,0.999038,0.000432973,0.999567,2.0
208,0.271991,0.5364,0.4636,1.0
209,0.990183,0.00441788,0.995582,2.0
210,0.752555,0.11135,0.88865,2.0
211,0.684854,0.858184,0.141816,0.0
212,0.930394,0.968677,0.0313228,0.0
213,0.952074,0.0215666,0.978433,2.0
214,0.922748,0.0347636,0.965236,2.0
215,0.679191,0.855636,0.144364,0.0
216,0.999908,4.14703e-05,0.999959,2.0
217,0.983637,0.00736314,0.992637,2.0
218,0.348636,0.293114,0.706886,2.0
219,0.257343,0.665805,0.334195,0.0
220,0.976562,0.0105471,0.989453,2.0
221,0.0959943,0.406803,0.593197,2.0
222,0.735997,0.881199,0.118801,0.0
223,0.13955,0.612797,0.387203,0.0
224,0.999055,0.000425406,0.999575,2.0
